3000 từ thông dụng
abandon	từ bỏ
than	hơn
thank	cảm tạ
thanks	cảm ơn
that	cái đó
the	các
theatre	rạp hát
their	của chúng
theirs	của họ
them	họ
theme	chủ đề
themselves	bản thân họ
then	sau đó
theory	học thuyết
there	ở đó
therefore	vì thế
they	họ
thick	dày
thickly	dày đặc
thickness	độ dầy
thief	tên trộm
thin	gầy
thing	Điều
think	suy nghĩ
thinking	Suy nghĩ
third	thứ ba
thirsty	khát nước
thirteen	mười ba
thirteenth	thứ mười ba
thirtieth	thứ ba mươi
thirty	ba mươi
this	điều này
thorough	triệt để
thoroughly	triệt để
though	Tuy nhiên
thought	nghĩ
thousand	nghìn
thousandth	phần nghìn
thread	sợi chỉ
threat	mối đe dọa
threaten	hăm dọa
threatening	đe doạ
three	số ba
throat	họng
through	xuyên qua
throughout	khắp
throw	ném
thumb	ngón cái
Thursday	Thứ năm
thus	do đó
ticket	vé
tidy	gọn gàng
tie	cà vạt
tight	chặt chẽ
tightly	chặt chẽ
till	cho đến
time	thời gian
timetable	thời gian biểu
tin	tin
tiny	nhỏ bé
tip	tiền boa
tire	lốp xe
tired	mệt mỏi
tiring	mệt mỏi
title	chức vụ
to	đến
today	hôm nay
toe	ngón chân
together	cùng với nhau
toilet	phòng vệ sinh
tomato	cà chua
tomorrow	Ngày mai
ton	tấn
tone	tấn
tongue	lưỡi
tonight	tối nay
tonne	tonne
too	quá
tool	dụng cụ
tooth	răng
top	hàng đầu
topic	đề tài
total	toàn bộ
totally	hoàn toàn
touch	chạm
tough	khó khăn
tour	chuyến du lịch
tourist	du lịch
towards	hướng tới
towel	khăn tắm
tower	Tháp
town	thị trấn
toy	đồ chơi
trace	dấu vết
track	theo dõi
trade	buôn bán
trading	thương mại
tradition	truyền thống
traditional	truyên thông
traditionally	theo truyền thống
traffic	giao thông
train	xe lửa
training	đào tạo
transfer	chuyển khoản
transform	biến đổi
translate	dịch
translation	dịch
transparent	trong suốt
transport	vận chuyển
transportation	vận chuyển
trap	bẩy
travel	du lịch
traveller	du khách
treat	đãi
treatment	điều trị
tree	cây
trend	khuynh hướng
trial	thử nghiệm
triangle	Tam giác
trick	lừa
trip	chuyến đi
tropical	nhiệt đới
trouble	rắc rối
trousers	quần
truck	xe tải
TRUE	thật
truly	thật sự
trust	Lòng tin
truth	sự thật
try	thử
tube	ống
Tuesday	Thứ ba
tune	điều chỉnh
tunnel	đường hầm
turn	xoay
TV	truyền hình
twelfth	thứ mười hai
twelve	mười hai
twentieth	hai mươi
twenty	hai mươi
twice	hai lần
twin	sinh đôi
twist	xoắn
twisted	xoắn
two	hai
type	kiểu
typical	điển hình
typically	thường
tyre	lốp xe
ugly	xấu xí
ultimate	tối hậu
ultimately	cuối cùng
umbrella	ô
unable	không thể
unacceptable	không thể chấp nhận
uncertain	không chắc chắn
uncle	Chú
uncomfortable	không thoải mái
unconscious	bất tỉnh
uncontrolled	không kiểm soát được
under	Dưới
underground	dưới lòng đất
underneath	bên dưới
understand	hiểu không
understanding	sự hiểu biết
underwater	dưới nước
underwear	đồ lót
undo	hủy bỏ
unemployed	thất nghiệp
unemployment	thất nghiệp
unexpected	bất ngờ
unexpectedly	bất ngờ
unfair	không công bằng
unfairly	không công bằng
unfortunate	không may
unfortunately	không may
unfriendly	không thân thiện
unhappy	không vui
uniform	đồng phục
unimportant	không quan trọng
union	liên hiệp
unique	độc nhất
unit	đơn vị
unite	đoàn kết
united	đoàn kết
universe	vũ trụ
university	trường đại học
unkind	không tốt
unknown	không xác định
unless	trừ khi
unlike	không giống
unlikely	không chắc
unload	dỡ hàng
unlucky	không may
unnecessary	không cần thiết
unpleasant	khó chịu
unreasonable	không hợp lý
unsteady	không ổn định
unsuccessful	không thành công
untidy	lộn xộn
until	cho đến
unusual	bất thường
unusually	bất thường
unwilling	không muốn
unwillingly	miễn cưỡng
up	lên
upon	trên
upper	phía trên
upset	buồn bã
upsetting	làm bối rối
upstairs	tầng trên
upward	trở lên
upwards	lên trên
urban	đô thị
urge	thúc giục
urgent	khẩn cấp
us	chúng tôi
use	sử dụng
used	đã sử dụng
useful	hữu ích
useless	vô ích
user	người dùng
usual	bình thường
usually	thông thường
vacation	kỳ nghỉ
valid	có hiệu lực
valley	thung lũng
valuable	quý giá
value	giá trị
van	van
variation	sự thay đổi
varied	đa dạng
variety	đa dạng
various	khác nhau
vary	thay đổi
vast	rộng lớn
vegetable	rau
vehicle	phương tiện
venture	liên doanh
version	phiên bản
vertical	theo chiều dọc
very	rất
via	thông qua
victim	nạn nhân
victory	chiến thắng
video	video
view	lượt xem
village	làng
violence	bạo lực
violent	hung bạo
violently	dữ dội
virtually	hầu như
virus	vi rút
visible	có thể nhìn thấy
vision	tầm nhìn
visit	chuyến thăm
visitor	khách thăm quan
vital	quan trọng
vocabulary	từ vựng
voice	tiếng nói
volume	âm lượng
vote	bỏ phiếu
wage	tiền lương
waist	thắt lưng
wait	chờ đợi
waiter	phục vụ nam
wake	đánh thức
walk	đi bộ
walking	đi dạo
wall	Tường
wallet	ví
wander	đi lang thang
want	muốn
war	chiến tranh
warm	ấm áp
warmth	sự ấm áp
warn	cảnh báo
warning	cảnh báo
wash	rửa
washing	rửa
waste	chất thải
watch	đồng hồ đeo tay
water	Nước
wave	làn sóng
way	đường
we	chúng tôi
weak	Yếu
weakness	yếu đuối
wealth	sự giàu có
weapon	vũ khí
wear	mặc
weather	thời tiết
web	web
website	trang mạng
wedding	lễ cưới
Wednesday	Thứ tư
week	tuần
weekend	ngày cuối tuần
weekly	hàng tuần
weigh	cân
weight	cân nặng
welcome	chào mừng
well	tốt
west	hướng Tây
western	miền Tây
wet	ướt
what	gì
whatever	bất cứ điều gì
wheel	bánh xe
when	khi nào
whenever	bất cứ khi nào
where	Ở đâu
whereas	trong khi
wherever	bất cứ nơi đâu
whether	liệu
which	cái nào
while	trong khi
whisper	thì thầm
whistle	còi
white	trắng
who	người nào
whoever	bất cứ ai
whole	toàn thể
whom	ai
whose	có ai
why	tại sao
wide	rộng
widely	rộng rãi
width	chiều rộng
wife	người vợ
wild	hoang dã
wildly	dã man
will	sẽ
willing	sẵn lòng
willingly	sẵn lòng
willingness	sự sẵn lòng
win	thắng lợi
wind	gió
window	cửa sổ
wine	rượu nho
wing	canh
winner	người chiến thắng
winning	chiến thắng
winter	mùa đông
wire	dây điện
wise	khôn ngoan
wish	muốn
with	với
withdraw	rút tiền
within	trong
without	không có
witness	nhân chứng
woman	đàn bà
wonder	ngạc nhiên
wonderful	Tuyệt vời
wood	gỗ
wooden	bằng gỗ
wool	len
word	từ
work	công việc
worker	công nhân
working	đang làm việc
world	thế giới
worried	lo lắng
worry	lo
worrying	đáng lo ngại
worse	tệ hơn
worship	tôn sùng
worst	tồi tệ nhất
worth	đáng
would	sẽ
wound	vết thương
wounded	bị thương
wrap	quấn
wrapping	gói
wrist	cổ tay
write	viết
writer	nhà văn
writing	viết
written	bằng văn bản
wrong	sai rồi
wrongly	sai
yard	sân
yawn	ngáp
yeah	vâng
year	năm
yellow	màu vàng
yes	Vâng
yesterday	hôm qua
yet	chưa
you	bạn
young	trẻ
your	của bạn
yours	của bạn
yourself	bản thân bạn
youth	thiếu niên
zero	số không
zone	khu vực
